time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration,shortwave_radiation_sum
2019-08-24,30.607499999999998,24.6004,27.491199999999996,11.946000000000002,78.617,3.5624599999999997,15.29176
2019-08-25,30.9089,24.610300000000002,27.3592,7.970600000000001,79.915,3.514499999999999,14.8885
2019-08-26,29.926600000000004,24.86,26.879599999999996,10.901000000000002,81.906,2.77035,10.98284
2019-08-27,30.092699999999997,24.418900000000004,26.849900000000005,6.4636,81.60900000000001,3.0516199999999998,13.006620000000002
2019-08-28,31.248800000000003,24.9007,27.643,4.415399999999999,81.092,3.79324,16.93516
2019-08-29,32.0936,25.3077,28.110500000000002,3.2119999999999997,80.355,3.9084099999999995,16.93505
2019-08-30,32.141999999999996,25.4111,28.316200000000002,6.3833,80.124,3.7315300000000002,16.434549999999998
2019-08-31,31.869200000000003,25.615699999999997,28.048900000000003,9.2147,81.972,3.5114199999999998,15.974530000000001
2019-09-01,31.4182,24.745600000000003,27.3878,10.727200000000002,85.36,3.4514700000000005,15.82042
2019-09-02,31.498500000000003,24.8622,27.322899999999997,11.5049,83.567,3.3286000000000002,15.012690000000001
2019-09-03,31.722899999999996,25.369300000000003,27.812399999999997,6.2161,83.45700000000001,3.3345399999999996,15.224219999999999
2019-09-04,30.783500000000004,25.3968,27.6364,14.6652,85.47,2.98881,13.331010000000001
2019-09-05,30.8737,25.369300000000003,27.6045,19.3919,85.107,3.0221400000000003,13.321000000000002
2019-09-06,31.164099999999998,25.577199999999998,27.773899999999998,12.643400000000002,84.65599999999999,3.00278,13.168760000000002
2019-09-07,31.619499999999995,25.656399999999998,27.8729,17.732000000000003,84.20500000000001,3.0877,13.4717
2019-09-08,30.9254,25.487000000000002,27.4252,22.466400000000004,85.58,2.53,10.417660000000001
2019-09-09,31.704199999999997,25.413300000000003,27.892699999999998,9.0904,81.917,3.20507,13.346740000000002
2019-09-10,31.718500000000002,25.218600000000002,28.066500000000005,6.344800000000001,80.443,3.4048300000000005,14.22586
2019-09-11,31.579900000000002,25.4188,27.925700000000003,12.3156,81.422,3.00542,12.013760000000001
2019-09-12,31.224600000000002,25.3165,27.659500000000005,16.4384,80.70700000000001,3.42331,13.876389999999999
2019-09-13,30.7967,25.122900000000005,27.526400000000002,13.411200000000001,81.851,2.90411,11.46035
2019-09-14,31.2807,25.348399999999998,27.874,3.3704,79.651,3.5371600000000005,14.479519999999999
2019-09-15,30.6328,25.1504,27.644099999999998,2.8556,80.78399999999999,3.19781,13.10848
2019-09-16,31.565600000000003,25.371499999999997,27.9026,3.9379999999999997,78.694,3.6859900000000003,15.74617
2019-09-17,32.351,25.275800000000004,27.9972,5.0589,79.167,3.6845600000000003,15.26536
2019-09-18,32.077099999999994,24.8886,27.9345,3.2207999999999997,79.97000000000001,3.7754200000000004,16.218069999999997
2019-09-19,31.7845,24.8567,27.696900000000003,11.8976,81.74099999999999,3.79786,16.06308
2019-09-20,31.1663,24.5828,27.4219,6.355800000000001,81.763,3.6323100000000004,16.059669999999997
2019-09-21,30.555799999999998,24.391400000000004,27.089700000000004,6.101699999999999,82.984,3.12873,14.088030000000002
2019-09-22,30.9892,24.454100000000004,27.2712,3.5981000000000005,81.488,3.5732399999999993,15.69249
2019-09-23,31.221299999999996,24.189,27.499999999999996,3.9402000000000004,79.882,3.9556,17.91097
2019-09-24,30.774700000000003,24.3144,27.3218,10.8966,81.02600000000001,3.5705999999999998,15.98905
2019-09-25,30.252200000000002,24.558600000000002,27.031399999999998,8.545900000000001,83.072,3.1809800000000004,13.684
2019-09-26,29.678,24.6499,26.7784,15.0392,83.974,2.5946800000000003,10.88032
2019-09-27,30.3391,24.539900000000003,26.7608,9.9572,82.368,3.0675700000000004,13.20627
2019-09-28,28.686900000000005,24.2363,25.998500000000003,8.270900000000001,85.976,2.31792,9.88922
2019-09-29,28.3162,23.890900000000002,25.625600000000006,44.4103,86.559,2.15853,9.20777
2019-09-30,30.168599999999998,23.0791,26.063399999999998,4.426399999999999,83.875,3.47655,16.62474
2019-10-01,30.2951,23.6511,26.5969,2.7896,82.61000000000001,3.53309,16.35271
2019-10-02,30.9815,23.485000000000003,26.893900000000002,0.7997000000000001,78.49600000000001,3.95538,18.261870000000002
2019-10-03,31.513899999999996,23.1187,26.479199999999995,2.046,79.541,3.8486799999999994,17.891060000000003
2019-10-04,30.773600000000002,22.532400000000003,26.096400000000003,1.4597000000000002,80.61900000000001,3.78235,17.74278
2019-10-05,31.2202,22.539,26.3835,1.1088,77.418,4.05097,18.81968
2019-10-06,30.935299999999998,22.3982,26.378,1.2826,77.242,4.0075199999999995,18.116120000000002
2019-10-07,30.971600000000002,22.4697,26.485799999999998,0.7908999999999999,76.54899999999999,4.05438,18.26495
2019-10-08,31.4897,22.214499999999997,26.667299999999997,0.0088,70.961,4.39142,19.538860000000003
2019-10-09,31.295,22.0517,26.681599999999996,0.0396,70.059,4.03744,18.21578
2019-10-10,31.764700000000005,21.494,26.5694,0.1056,70.521,4.26514,19.406200000000005
2019-10-11,31.884600000000006,21.6744,26.858699999999995,0.05279999999999999,66.19800000000001,4.215199999999999,18.74565
2019-10-12,32.0364,21.150800000000004,26.3505,0.0,65.78,4.435420000000001,19.266170000000002
2019-10-13,32.5732,21.3411,26.692600000000002,0.0,62.579,4.639799999999999,19.4315
2019-10-14,33.1199,21.0705,26.6959,0.0,59.42200000000001,4.68083,20.18676
2019-10-15,32.989,20.868100000000002,26.734399999999997,0.0,59.23500000000001,4.59338,19.40455
2019-10-16,32.945,21.401600000000002,26.7113,0.0,61.42400000000001,4.5276000000000005,18.65314
2019-10-17,32.8273,21.3741,26.7619,0.0,61.468,4.666309999999999,19.26551
2019-10-18,31.062900000000003,21.883400000000005,25.875300000000003,3.9336,70.081,3.7257,15.32333
2019-10-19,30.7593,22.3212,25.947900000000004,0.2552,70.367,3.4673099999999994,13.59787
2019-10-20,30.110300000000002,21.576500000000003,25.234,2.64,73.898,3.1999,13.197690000000001
2019-10-21,29.9673,21.299300000000002,25.244999999999997,0.396,71.21400000000001,3.41572,13.776840000000002
2019-10-22,30.763700000000004,21.5028,25.652,0.374,69.278,3.7358199999999995,15.494819999999999
2019-10-23,31.0002,21.2322,25.597,0.6732,68.035,4.1071800000000005,16.861790000000003
2019-10-24,31.1729,21.077099999999998,25.645400000000002,0.0,62.348000000000006,4.2053,15.894889999999998
2019-10-25,30.5415,20.9319,25.0118,0.43560000000000004,61.831,3.98376,14.34752
